명령어,설명,분류,관리자전용
"/신입","신입 가이드를 시작합니다.","신입 안내","N"
"/1 ~ /5","가이드를 단계별로 실행합니다.","신입 안내","N"
"/다시","닉네임 양식을 다시 안내합니다.","신입 안내","N"
"/종료","신입 절차를 강제로 종료합니다.","신입 안내","Y"
"/카프","오픈프로필에서 카카오프로필로 바꾸는 방법을 안내합니다.","신입 안내","N"
"/중복","닉네임이 겹친다고 경고합니다.","신입 안내","Y"
"/남마","남자 마감을 안내합니다.","신입 안내","Y"
"/신입질문","신입 공통 질문 양식을 띄웁니다.","신입 안내","N"
"/도인","도용인증 방법을 자세히 안내합니다.","인증 · 규정","N"
"/도인명단","도용인증 마감 명단을 봅니다. 마감 지난 사람은 ⚠️ 표시됩니다.","인증 · 규정","Y"
"/0725","그 날짜에 도용인증 마감인 사람만 봅니다. (숫자 4자리 MMDD, 예: /0725)","인증 · 규정","Y"
"/신입[닉]","그 사람 도용인증 마감일을 오늘+5일로 등록합니다. (예: /신입호랑)","인증 · 규정","Y"
"/[닉]도인","내 도용인증 마감일을 확인합니다. (예: /호랑도인)","인증 · 규정","N"
"/맞공","서로 얼굴을 공개하는 규정을 안내합니다.","인증 · 규정","N"
"/보룸","보이스룸 규정을 안내합니다.","인증 · 규정","N"
"/얼","얼굴 공개할 때 주의사항을 안내합니다.","인증 · 규정","N"
"/하트","본방 하트 인증 방법을 안내합니다.","인증 · 규정","N"
"/쉿","채팅 통제를 시작합니다.","운영","Y"
"/땡","채팅 통제를 해제합니다.","운영","Y"
"/단타","채팅방 독점을 경고합니다.","운영","Y"
"/서울날씨","지역별 오늘 날씨를 알려줍니다. (지역 이름을 바꿔 쓰세요)","생활 · 재미","N"
"/안녕","봇이 인사합니다.","생활 · 재미","N"
"/뭐먹지","오늘 먹을 메뉴를 추천합니다.","생활 · 재미","N"
"/필수","방 필수 안내를 띄웁니다.","생활 · 재미","N"
"/로또","로또 번호를 뽑아줍니다.","생활 · 재미","N"
"/로또번호","로또 마지막 번호를 맞춰봅니다.","생활 · 재미","N"
"/눈치게임","눈치게임을 시작합니다. 끝 숫자를 외치면 걸립니다.","생활 · 재미","N"
"/가위 /바위 /보","봇과 가위바위보를 합니다.","생활 · 재미","N"
"/게임설명","방에서 하는 게임 방법을 설명합니다.","생활 · 재미","N"
"/심테","연애유형 테스트 링크를 보내줍니다.","연애유형","N"
"/유형명","유형 설명과 어울리는 이성을 알려줍니다. (예: /심약핑)","연애유형","N"
"/유형명등록","내 유형을 등록합니다. (예: /심약핑등록)","연애유형","N"
"/유형명목록","그 유형인 사람 명단을 봅니다. (예: /심약핑목록)","연애유형","N"
"/유형명빼기 [닉]","그 유형에서 사람을 뺍니다.","연애유형","Y"
"/도움말","전체 명령어 목록을 채팅에 출력합니다.","기본","N"
